"key","ko"
"DISMISS_FOR_TODAY","오늘 하루 보지 않기"
"AD_FREE_DESC","더 이상 광고를 보지 않습니다."
"INTRO_NARRATION_0","소른은 당대 최강의 기사다."
"INTRO_NARRATION_1","예민한 감각으로 자신을 향한 공격을 감지할수 있고,"
"INTRO_NARRATION_2","범인은 볼수 조차 없는 없는 속도로 검을 휘두를 수 있다."
"INTRO_NARRATION_3","그는 마침내 이 정체불명의 던전 최심부에 도달했다."
"INTRO_NARRATION_4","거기서 마주친 상대는 별거 아닌 해골 병사 하나 였다."
"ENDING_LINE_0","...뭣!?"
"THANK_YOU_FOR_PLAY","플레이 해주셔서 감사합니다."
"PERK_NAME_0","Perk name"
"PERK_DESC_0","Perk description"
"LEVEL_FORMAT_0","Level.{0}"
"SUMMON_MONK","수도사 소환"
"SHEEP_MISSILE","양 미사일"
"POWDER_KEG","폭탄 통"
"DYNAMITE","다이너마이트"
"MELEE_DAGGER","단검"
"MELEE_BAT","야구방망이"
"SUMMON_MONK_DESC","수도사 소환 스킬 {0}"
"SHEEP_MISSILE_DESC","양 미사일 스킬 {0}"
"POWDER_KEG_DESC","폭탄통 스킬 {0}"
"DYNAMITE_DESC","다이너마이트 스킬 {0}"
"MELEE_DAGGER_DESC","단검 스킬 {0}"
"MELEE_BAT_DESC","야구방망이 스킬 {0}"
"ADS_WATCH_DESC","광고를 시청하고 무전기를 충전 하시겠습니까?"
"RANK_UP_DESC","계급을 진급 하시겠습니까?"
"RANK_UP_REWARD_DESC","계급을 진급 하시겠습니까?\n진급보상 아이템 슬롯 +1"
"ENERGY_LACK_DESC","무전기가 부족합니다."
"ENERGY_MAX_DESC","무전기가 가득 찼습니다.."
"RANK_MAX_DESC","최고 계급입니다."
"GOLD_LACK_DESC","골드가 부족합니다."
"GOLD_LACK_FORMAT","골드가 {0} 만큼 부족합니다."
"GLOVES","장갑"
"GLOVES_DESC","모든 무기의 재사용 대기시간을 줄여주는 가죽 장갑입니다."
"ARMOR","갑옷"
"ARMOR_DESC","방어력을 증가시키는 단단한 갑옷입니다."
"HELMET","헬멧"
"HELMET_DESC","최대 체력을 증가시키는 보호 장비입니다."
"BOOTS","신발"
"BOOTS_DESC","이동 속도를 증가시키는 가벼운 신발입니다."
"TACTICAL_BACKPACK","전술 배낭"
"TACTICAL_BACKPACK_DESC","아이템 획득 반경을 증가시킵니다."
"ARMOR_PIERCING_BULLET","특수 철갑탄"
"ARMOR_PIERCING_BULLET_DESC","데미지와 관통력을 증가시킵니다."
"TACTICAL_MANUAL","전술 교범"
"TACTICAL_MANUAL_DESC","경험치 획득량을 증가시킵니다."
"PISTOL_ATTACK","권총 사격"
"PISTOL_ATTACK_DESC","가장 가까운 적에게 권총을 발사합니다."
"GRENADE","수류탄"
"GRENADE_DESC","수류탄을 던져 폭발시킵니다."
"LANDMINE","지뢰"
"LANDMINE_DESC","지뢰를 설치합니다. 적이 닿으면 폭발합니다."
"SNIPER_RIFLE","대물 저격총"
"SNIPER_RIFLE_DESC","강력한 단발 관통 탄환을 발사합니다."
"RPG_MISSILE","RPG-7"
"RPG_MISSILE_DESC","RPG-7 스킬 {0}"
"SKILL_ATK_INCREASE","공격력 증가"
"SKILL_RADIUS_EXPAND_DESC","[반경 확장]\n폭발 반경이 증가합니다.\n공격력 증가"
"GRENADE_L1_DESC","수류탄을 투척 후 폭발합니다."
"GRENADE_L7_DESC","[다중 투척]\n한 번에 수류탄 3개를 동시에 투척합니다."
"GRENADE_L10_DESC","[화약 증량]\n폭발 반경이 증가합니다.\n공격력 증가"
"LANDMINE_L1_DESC","지뢰를 던져 설치합니다.\n0.5초 대기 후, 적이 밟으면 즉시 폭발합니다."
"LANDMINE_L7_DESC","[연쇄 설치]\n한 번에 지뢰 2개를 연속 설치 합니다."
"LANDMINE_L10_DESC","[반응 속도 증가]\n기폭 대기 시간이 0.2초로 감소 합니다.\n공격력 증가"
"MELEE_DAGGER_L1_DESC","좁은 범위를 빠르게 연속 공격합니다.\n(2연속 공격)"
"MELEE_DAGGER_L4_DESC","[사거리 증가]\n공격 사거리가 늘어납니다."
"MELEE_DAGGER_L7_DESC","[난도질]\n공격 횟수가 늘어나고\n타격 속도가 빨라집니다."
"MELEE_DAGGER_L10_DESC","[칼날 연마]\n사거리가 최대치로 늘어납니다."
"MELEE_BAT_L1_DESC","넓은 범위를 휘둘러 공격합니다."
"MELEE_BAT_L4_DESC","[스윙 확장]\n공격 범위가 더 넓어집니다."
"MELEE_BAT_L7_DESC","[콤보 스윙]\n좌우로 빠르게 연속 휘두릅니다."
"MELEE_BAT_L10_DESC","[트리플 스윙]\n공격 횟수가 크게 증가합니다."
"GLOVES_LEVEL_DESC","모든 무기 쿨다운 {0}% 감소"
"ARMOR_LEVEL_DESC","방어력 {0} 증가"
"HELMET_LEVEL_DESC","최대 체력 +{0}"
"BOOTS_LEVEL_DESC","이동 속도 {0}% 증가"
"TACTICAL_BACKPACK_LEVEL_DESC","아이템 획득 반경 {0}% 증가"
"TACTICAL_MANUAL_LEVEL_DESC","경험치 획득량 {0}% 증가"
"PISTOL_ATTACK_L1_DESC","적을 향해 빠르게 탄환을 발사합니다."
"PISTOL_ATTACK_L4_DESC","[사거리 증가]\n사거리가 더 늘어납니다."
"PISTOL_ATTACK_L7_DESC","[더블샷]\n탄환을 2점사로 발사합니다."
"PISTOL_ATTACK_L10_DESC","[관통탄]\n탄환이 적을 뚫고 지나갑니다."
"RPG_MISSILE_L1_DESC","로켓이 날아가 명중 시 폭발 합니다."
"RPG_MISSILE_L4_DESC","[모터 개량]\n투사체의 비행속도가 증가합니다.\n공격력 증가"
"RPG_MISSILE_L7_DESC","[다연장 로켓]\n3발의 로켓을 부채꼴로 발사합니다."
"RPG_MISSILE_L10_DESC","[폭발 반경 확장]\n폭발 반경이 증가합니다."
"SNIPER_RIFLE_L1_DESC","넓은 사거리를 무제한 관통하며 공격합니다."
"SNIPER_RIFLE_L4_DESC","[탄환 구경 확장]\n탄환의 크기가 증가합니다.\n공격력 증가"
"SNIPER_RIFLE_L7_DESC","[쌍발 사격]\n좁은 각도로 탄환을 2발씩 연속으로 발사합니다."
"SNIPER_RIFLE_L10_DESC","[파괴탄]\n탄환의 크기가 증가합니다.\n공격력 증가"
"PRESS_TO_START","화면을 눌러 시작합니다."
"PLAY","전장으로"
"SFX","효과음"
"BGM","배경음"
"TO_LOBBY","대기실로"
"CONFIRM","확인"
"SETTINGS","설정"
